关键词,来源,月搜索量,KD,CPC($),Trends比值,Top10最低2站DR均值,SERP弱度,自有站DR,DR差值,G1话题相关,G2可承接,意图,DR过滤,分桶_自动,手动分桶,调整原因,分桶,AIO预判,AIO风险,排序权重,内容状态,发布URL,备注
astrosage vedic birth chart calculator,种子词拓展,100,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
how to interpret solar return chart,竞品映射,100,2,,,18,✅弱,0,18,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
birth chart calculator astro seek,种子词拓展,100,,,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
twin flame birth chart calculator free,种子词拓展,100,12,0.35,,3,✅弱,0,3,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
mars square pluto transit,竞品映射,100,0,,,24,⚠️中,0,24,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
full birth chart calculator,种子词拓展,100,74,0.2,,25,⚠️中,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
human design calculator birth chart,种子词拓展,100,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
vedic astrology calculator free,竞品映射,100,36,0.5,,7,✅弱,0,7,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
swiss ephemeris online birth chart calculator,种子词拓展,100,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
aura red,竞品映射,100,0,0.01,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ascendent sign meaning,竞品映射,100,39,0.01,,41,✅弱,0,41,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
horoscopes astro seek,种子词拓展,100,30,0.15,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
highly sensitive person quotes,种子词拓展,100,0,0.15,,7,⚠️中,0,7,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
what planet rules scorpio rising,竞品映射,100,2,,,50,⚠️中,0,50,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
online aura reading,竞品映射,100,3,0.6,,9,⚠️中,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
astrology trine,竞品映射,100,11,0.2,,21,✅弱,0,21,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
find my north node,竞品映射,100,28,0.7,,6,✅弱,0,6,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
soulmate birth chart calculator,种子词拓展,100,22,0.35,,20,✅弱,0,20,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
how to find out your aura color,竞品映射,100,0,0.03,,22,✅弱,0,22,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
tropical birth chart calculator,种子词拓展,100,69,1.1,,12,⚠️中,0,12,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
vedic astrology ai,种子词拓展,100,26,,,3,⚠️中,0,3,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
sidereal astrology birth chart calculator,种子词拓展,100,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
saturn transit 7th house,竞品映射,100,0,,,20,⚠️中,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
astrology opposition,竞品映射,100,0,,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro seek numerology,种子词拓展,100,36,,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
what's my aura color,竞品映射,100,4,0.05,,21,⚠️中,0,21,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
what to do on a full moon spiritually,竞品映射,100,7,,,23,✅弱,0,23,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is asc in astrology,内容缺口,50,15,,,30,✅弱,0,30,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astrologer reading,内容缺口,40,28,0.8,,8,✅弱,0,8,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
professional astrology reading,内容缺口,30,32,2.5,,17,✅弱,0,17,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
what house is mars in,内容缺口,30,4,,,33,✅弱,0,33,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
professional astrology readings,内容缺口,30,21,2.5,,12,✅弱,0,12,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
professional birth chart reading,内容缺口,30,27,1.3,,25,✅弱,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
saturn in natal chart,内容缺口,20,21,,,34,✅弱,0,34,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
mercury birth chart,内容缺口,10,14,0.35,,39,⚠️中,0,39,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
professional natal chart reading,内容缺口,,30,1.6,,26,✅弱,0,26,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
natal chart reading professional,内容缺口,,17,1.2,,25,✅弱,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
birth chart calculator sun,种子词拓展,,,,,,,0,待填,✅相关,,待确认,待填,,,,,,,1,,,
